id,IDTechnology,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
144,143,,127371,ja,japanese,japanese,springald-emplacement-3,Springald Emplacement,technology,Add a defensive springald emplacement to this structure.,springald-emplacement,Springald Emplacement,upgrade_keep_springald,Add a defensive springald emplacement to this structure.,3,,0,50,0,125,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
145,144,,2126207,ja,japanese,japanese,spyglass-4,Spyglass,technology,Increase the sight radius of Scouts by 30%.,spyglass,Spyglass,upgrade_scout_los_increase,Increase the sight radius of Scouts by 30%.,4,,0,50,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
146,145,,188269,ja,japanese,japanese,steeled-arrow-2,Steeled Arrow,technology,Increase the ranged damage of all arrows and bolts by +1.,steeled-arrow,Steeled Arrow,upgrade_ranged_damage_i,Increase the ranged damage of all arrows and bolts by +1.,2,,0,125,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
147,146,,203467,ja,japanese,japanese,survival-techniques-1,Survival Techniques,technology,Increase Villagers' hunted meat gather rate by +15%.,survival-techniques,Survival Techniques,upgrade_econ_villager_hunting_gear_1,Increase Villagers' hunted meat gather rate by +15%.,1,,0,75,25,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
148,147,,2101653,ja,japanese,japanese,swivel-cannon-4,Swivel Cannon,technology,Springald Ships gain an additional Cannon which fires in 360 degrees.,swivel-cannon,Swivel Cannon,upgrade_naval_swivel_cannon,Springald Ships gain an additional Cannon which fires in 360 degrees.,4,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
149,148,,2137905,ja,japanese,japanese,takezaiku-2,Takezaiku,technology,"Increase the carry capacity of Villagers by +3, their movement speed by +7%, and +25% gather rate from Berry Bushes.",takezaiku,Takezaiku,upgrade_unit_town_center_wheelbarrow_2_jpn,"Increase the carry capacity of Villagers by +3, their movement speed by +7%, and +25% gather rate from Berry Bushes.",2,,0,100,50,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
150,149,,2136857,ja,japanese,japanese,tatara-1,Tatara,technology,Increase the melee damage of all non-siege units by +1.,tatara,Tatara,upgrade_melee_damage_i_jpn,Increase the melee damage of all non-siege units by +1.,1,,0,50,0,25,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
151,150,,2137904,ja,japanese,japanese,tawara-1,Tawara,technology,"Increase the carry capacity of Villagers by +3, their movement speed by +7%, and +25% gather rate from Berry Bushes.",tawara,Tawara,upgrade_unit_town_center_wheelbarrow_1_jpn,"Increase the carry capacity of Villagers by +3, their movement speed by +7%, and +25% gather rate from Berry Bushes.",1,,0,50,25,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
152,151,,2045367,ja,japanese,japanese,textiles-2,Textiles,technology,Increase Villagers' health by +50%.,textiles,Textiles,upgrade_villager_health,Increase Villagers' health by +50%.,2,,50,100,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
153,152,,2140388,ja,japanese,japanese,upgrade-shinobi-3,Castle Age Shinobi,technology,Increases the health and damage of Shinobi when reaching Castle Age.,upgrade-shinobi-3,Castle Age Shinobi,upgrade_unit_shinobi_3,Increases the health and damage of Shinobi when reaching Castle Age.,3,,0,0,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
154,153,,2140389,ja,japanese,japanese,upgrade-shinobi-4,Imperial Age Shinobi,technology,Increases the health and damage of of Shinobi when reaching Imperial Age.,upgrade-shinobi-4,Imperial Age Shinobi,upgrade_unit_shinobi_4,Increases the health and damage of of Shinobi when reaching Imperial Age.,4,,0,0,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
155,154,,188267,ja,japanese,japanese,wedge-rivets-3,Wedge Rivets,technology,Increase the ranged armor of all non-siege units by +1.,wedge-rivets,Wedge Rivets,upgrade_ranged_armor_ii,Increase the ranged armor of all non-siege units by +1.,3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
156,155,,2145773,ja,japanese,japanese,yaki-ire-4,Yaki-ire,technology,Increase the melee damage of all non-siege units by +1.,yaki-ire,Yaki-ire,upgrade_melee_damage_iv_jpn,Increase the melee damage of all non-siege units by +1.,4,,0,275,0,175,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
157,156,,2158005,ja,japanese,japanese,zen-3,Zen,technology,Buddhist Monks generate 25 gold every 60 seconds.,zen,Zen,upgrade_temple_zen_jpn,Buddhist Monks generate 25 gold every 60 seconds.,3,,100,0,200,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
158,157,,130999,ay,ayyubids,abbasid_ha_01,adjustable-crossbars-4,Adjustable Crossbars,technology,"Increases Mangonel range by +1, blast radius by +100%, and adds +1 projectile to attacks.",adjustable-crossbars,Adjustable Crossbars,upgrade_siege_adjustable_crossbar,"Increases Mangonel range by +1, blast radius by +100%, and adds +1 projectile to attacks.",4,,0,1200,1000,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
159,158,,188268,ay,ayyubids,abbasid_ha_01,angled-surfaces-4,Angled Surfaces,technology,Increase the ranged armor of all non-siege units by +1.,angled-surfaces,Angled Surfaces,upgrade_ranged_armor_iii,Increase the ranged armor of all non-siege units by +1.,4,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
160,159,,196879,ay,ayyubids,abbasid_ha_01,armored-hull-3,Armored Hull,technology,Increase the health of all military ships by +20% and ranged armor by +1.,armored-hull,Armored Hull,upgrade_naval_armored_hull,Increase the health of all military ships by +20% and ranged armor by +1.,3,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
161,160,,127325,ay,ayyubids,abbasid_ha_01,arrowslits-2,Arrowslits,technology,Add defensive arrowslits to this structure and increase garrison arrow range by +1. Only one weapon emplacement can be added.,arrowslits,Arrowslits,upgrade_outpost_arrowslits,Add defensive arrowslits to this structure and increase garrison arrow range by +1. Only one weapon emplacement can be added.,2,,0,25,0,50,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
162,161,,188270,ay,ayyubids,abbasid_ha_01,balanced-projectiles-3,Balanced Projectiles,technology,Increase the ranged damage of all arrows and bolts by +1.,balanced-projectiles,Balanced Projectiles,upgrade_ranged_damage_ii,Increase the ranged damage of all arrows and bolts by +1.,3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
163,162,,127850,ay,ayyubids,abbasid_ha_01,biology-4,Biology,technology,Investing in natural sciences increases the health of all cavalry by +30%.,biology,Biology,upgrade_tech_university_biology,Investing in natural sciences increases the health of all cavalry by +30%.,4,,500,1000,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
164,163,,187694,ay,ayyubids,abbasid_ha_01,bloomery-2,Bloomery,technology,Increase the melee damage of all non-siege units by +1.,bloomery,Bloomery,upgrade_melee_damage_i,Increase the melee damage of all non-siege units by +1.,2,,50,125,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
165,164,,128447,ay,ayyubids,abbasid_ha_01,boiling-oil-3,Boiling Oil,technology,Towers and Keeps gain a boiling oil attack against nearby units that deals 30 damage.,boiling-oil,Boiling Oil,upgrade_tech_university_murder_holes_4,Towers and Keeps gain a boiling oil attack against nearby units that deals 30 damage.,3,,0,500,0,200,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
166,165,,2141112,ay,ayyubids,abbasid_ha_01,bonus-culture-wing-advancement-4,"Advancement
(Bonus Culture Wing)",technology,"Constructs the Culture Wing.
Build this wing to advance to the next Age in 20% less time and with 1300 less costs.",bonus-culture-wing-advancement,"Advancement
(Bonus Culture Wing)",upgrade_add_culture_wing_imperial_a_abb_ha_01,"Constructs the Culture Wing.
Build this wing to advance to the next Age in 20% less time and with 1300 less costs.",4,,1550,750,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
167,166,,2141113,ay,ayyubids,abbasid_ha_01,bonus-culture-wing-logistics-4,"Logistics
(Bonus Culture Wing)",technology,"Constructs the Culture Wing.
Upon completion, grants 4 Dervish, improves the unit's healing by +50%, and turns it on permanently.",bonus-culture-wing-logistics,"Logistics
(Bonus Culture Wing)",upgrade_add_culture_wing_imperial_b_abb_ha_01,"Constructs the Culture Wing.
Upon completion, grants 4 Dervish, improves the unit's healing by +50%, and turns it on permanently.",4,,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
168,167,,2141099,ay,ayyubids,abbasid_ha_01,bonus-economic-wing-growth-4,"Growth
(Bonus Economic Wing)",technology,"Constructs the Economic Wing.
Upon completion, grants 10 Villagers and all Villagers work +10% faster.",bonus-economic-wing-growth,"Growth
(Bonus Economic Wing)",upgrade_add_economy_wing_imperial_a_abb_ha_01,"Constructs the Economic Wing.
Upon completion, grants 10 Villagers and all Villagers work +10% faster.",4,,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
169,168,,2141100,ay,ayyubids,abbasid_ha_01,bonus-economic-wing-industry-4,"Industry
(Bonus Economic Wing)",technology,"Constructs the Military Wing.
The Blacksmith's damage and armor technologies become free and complete automatically when entering an Age. (Those of other Ages must still be researched as normal).",bonus-economic-wing-industry,"Industry
(Bonus Economic Wing)",upgrade_add_economy_wing_imperial_b_abb_ha_01,"Constructs the Military Wing.
The Blacksmith's damage and armor technologies become free and complete automatically when entering an Age. (Those of other Ages must still be researched as normal).",4,,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
170,169,,2141105,ay,ayyubids,abbasid_ha_01,bonus-military-wing-master-smiths-4,"Master Smiths
(Bonus Military Wing)",technology,"Constructs the Military Wing.
The Blacksmith's damage and armor technologies become free and complete automatically when entering an Age. (Those of other Ages must still be researched as normal).",bonus-military-wing-master-smiths,"Master Smiths
(Bonus Military Wing)",upgrade_add_military_wing_imperial_b_abb_ha_01,"Constructs the Military Wing.
The Blacksmith's damage and armor technologies become free and complete automatically when entering an Age. (Those of other Ages must still be researched as normal).",4,,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
171,170,,2132768,ay,ayyubids,abbasid_ha_01,bonus-military-wing-reinforcement-4,"Reinforcement
(Bonus Military Wing)",technology,"Constructs the Military Wing.
Upon completion, Cavalry units gain the ability to construct siege weapons.
The House of Wisdom produces 7 Desert Raiders immediately and then every 2 minutes for the rest of the game.",bonus-military-wing-reinforcement,"Reinforcement
(Bonus Military Wing)",upgrade_add_military_wing_imperial_a_abb_ha_01,"Constructs the Military Wing.
Upon completion, Cavalry units gain the ability to construct siege weapons.
The House of Wisdom produces 7 Desert Raiders immediately and then every 2 minutes for the rest of the game.",4,,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
172,171,,2141121,ay,ayyubids,abbasid_ha_01,bonus-trade-wing-advisors-4,"Advisors
(Bonus Trade Wing)",technology,"Constructs the Trade Wing.
Upon completion, gain 7 Atabeg which can be garrisoned in any military production building (except Docks) to increase the health of newly trained units by 20%.",bonus-trade-wing-advisors,"Advisors
(Bonus Trade Wing)",upgrade_add_trade_wing_imperial_b_abb_ha_01,"Constructs the Trade Wing.
Upon completion, gain 7 Atabeg which can be garrisoned in any military production building (except Docks) to increase the health of newly trained units by 20%.",4,,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
173,172,,2141120,ay,ayyubids,abbasid_ha_01,bonus-trade-wing-bazaar-4,"Bazaar
(Bonus Trade Wing)",technology,"Constructs the Trade Wing.
Every three minutes a trade caravan arrives with a random selection of four favorable exchanges of resources and units.
The quality of these trades is permanently set depending on the Age at which the Trade Wing is constructed. Using the Trade Wing to enter a later age provides more lucrative trades.",bonus-trade-wing-bazaar,"Bazaar
(Bonus Trade Wing)",upgrade_add_trade_wing_imperial_a_abb_ha_01,"Constructs the Trade Wing.
Every three minutes a trade caravan arrives with a random selection of four favorable exchanges of resources and units.
The quality of these trades is permanently set depending on the Age at which the Trade Wing is constructed. Using the Trade Wing to enter a later age provides more lucrative trades.",4,,2400,1200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
174,173,,185626,ay,ayyubids,abbasid_ha_01,cannon-emplacement-4,Cannon Emplacement,technology,Add a defensive cannon emplacement to this structure.,cannon-emplacement,Cannon Emplacement,upgrade_keep_cannon,Add a defensive cannon emplacement to this structure.,4,,0,125,0,375,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
175,174,,2141110,ay,ayyubids,abbasid_ha_01,castle-culture-wing-advancement-2,"Advancement
(Castle Culture Wing)",technology,"Constructs the Culture Wing.
Build this wing to advance to the next Age in 20% less time and with 400 less costs.",castle-culture-wing-advancement,"Advancement
(Castle Culture Wing)",upgrade_add_culture_wing_feudal_a_abb_ha_01,"Constructs the Culture Wing.
Build this wing to advance to the next Age in 20% less time and with 400 less costs.",2,,900,500,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
176,175,,2141111,ay,ayyubids,abbasid_ha_01,castle-culture-wing-logistics-2,"Logistics
(Castle Culture Wing)",technology,"Constructs the Culture Wing.
Upon completion, grants 3 Dervish, improves the unit's healing by +25%, and turns it on permanently.",castle-culture-wing-logistics,"Logistics
(Castle Culture Wing)",upgrade_add_culture_wing_feudal_b_abb_ha_01,"Constructs the Culture Wing.
Upon completion, grants 3 Dervish, improves the unit's healing by +25%, and turns it on permanently.",2,,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
177,176,,2141095,ay,ayyubids,abbasid_ha_01,castle-economic-wing-growth-2,"Growth
(Castle Economic Wing)",technology,"Constructs the Economic Wing.
Upon completion, grants 7 Villagers. Orchards gain 100 additional food.",castle-economic-wing-growth,"Growth
(Castle Economic Wing)",upgrade_add_economy_wing_feudal_a_abb_ha_01,"Constructs the Economic Wing.
Upon completion, grants 7 Villagers. Orchards gain 100 additional food.",2,,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
178,177,,2141096,ay,ayyubids,abbasid_ha_01,castle-economic-wing-industry-2,"Industry
(Castle Economic Wing)",technology,"Constructs the Economic Wing.
Upon completion, awards 800 Wood and 400 Stone.",castle-economic-wing-industry,"Industry
(Castle Economic Wing)",upgrade_add_economy_wing_feudal_b_abb_ha_01,"Constructs the Economic Wing.
Upon completion, awards 800 Wood and 400 Stone.",2,,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
179,178,,2141104,ay,ayyubids,abbasid_ha_01,castle-military-wing-master-smiths-2,"Master Smiths
(Castle Military Wing)",technology,"Constructs the Military Wing.
The Blacksmith's damage and armor technologies become free and complete automatically when entering an Age. (Those of other Ages must still be researched as normal).",castle-military-wing-master-smiths,"Master Smiths
(Castle Military Wing)",upgrade_add_military_wing_feudal_b_abb_ha_01,"Constructs the Military Wing.
The Blacksmith's damage and armor technologies become free and complete automatically when entering an Age. (Those of other Ages must still be researched as normal).",2,,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
180,179,,2132766,ay,ayyubids,abbasid_ha_01,castle-military-wing-reinforcement-2,"Reinforcement
(Castle Military Wing)",technology,"Constructs the Military Wing.
Upon completion, Cavalry units gain the ability to construct siege weapons.
The House of Wisdom produces 3 Desert Raiders immediately and then every 2 minutes for the rest of the game.",castle-military-wing-reinforcement,"Reinforcement
(Castle Military Wing)",upgrade_add_military_wing_feudal_a_abb_ha_01,"Constructs the Military Wing.
Upon completion, Cavalry units gain the ability to construct siege weapons.
The House of Wisdom produces 3 Desert Raiders immediately and then every 2 minutes for the rest of the game.",2,,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
181,180,,2141119,ay,ayyubids,abbasid_ha_01,castle-trade-wing-advisors-2,"Advisors
(Castle Trade Wing)",technology,"Constructs the Trade Wing.
Upon completion, gain 5 Atabeg which can be garrisoned in any military production building (except Docks) to increase the health of newly trained units by 20%.",castle-trade-wing-advisors,"Advisors
(Castle Trade Wing)",upgrade_add_trade_wing_feudal_b_abb_ha_01,"Constructs the Trade Wing.
Upon completion, gain 5 Atabeg which can be garrisoned in any military production building (except Docks) to increase the health of newly trained units by 20%.",2,,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
182,181,,2141118,ay,ayyubids,abbasid_ha_01,castle-trade-wing-bazaar-2,"Bazaar
(Castle Trade Wing)",technology,"Constructs the Trade Wing.
Every three minutes a trade caravan arrives with a random selection of four favorable exchanges of resources and units.
The quality of these trades is permanently set depending on the Age at which the Trade Wing is constructed. Using the Trade Wing to enter a later age provides more lucrative trades.",castle-trade-wing-bazaar,"Bazaar
(Castle Trade Wing)",upgrade_add_trade_wing_feudal_a_abb_ha_01,"Constructs the Trade Wing.
Every three minutes a trade caravan arrives with a random selection of four favorable exchanges of resources and units.
The quality of these trades is permanently set depending on the Age at which the Trade Wing is constructed. Using the Trade Wing to enter a later age provides more lucrative trades.",2,,1200,600,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
183,182,,124734,ay,ayyubids,abbasid_ha_01,chemistry-4,Chemistry,technology,Advancements in alchemical research increase the bonus damage of all gunpowder siege weapons by +25%.,chemistry,Chemistry,upgrade_siege_chemistry,Advancements in alchemical research increase the bonus damage of all gunpowder siege weapons by +25%.,4,,200,650,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
184,183,,128427,ay,ayyubids,abbasid_ha_01,court-architects-4,Court Architects,technology,Patronage of the finest builders increases all building health by +30%.,court-architects,Court Architects,upgrade_tech_university_architecture_4,Patronage of the finest builders increases all building health by +30%.,4,,0,700,0,300,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
185,184,,171837,ay,ayyubids,abbasid_ha_01,crosscut-saw-4,Crosscut Saw,technology,Increase Villagers' gathering rate for Wood by 15% and Wood gatherers carry capacity by +5.,crosscut-saw,Crosscut Saw,upgrade_econ_resource_wood_harvest_rate_4,Increase Villagers' gathering rate for Wood by 15% and Wood gatherers carry capacity by +5.,4,,250,500,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
186,185,,171824,ay,ayyubids,abbasid_ha_01,cupellation-4,Cupellation,technology,Gold gatherers drop off 15% more resources.,cupellation,Cupellation,upgrade_econ_resource_gold_harvest_rate_4,Gold gatherers drop off 15% more resources.,4,,0,500,250,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
187,186,,188010,ay,ayyubids,abbasid_ha_01,damascus-steel-4,Damascus Steel,technology,Increase the melee damage of all non-siege units by +1.,damascus-steel,Damascus Steel,upgrade_melee_damage_iii,Increase the melee damage of all non-siege units by +1.,4,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
188,187,,187997,ay,ayyubids,abbasid_ha_01,decarbonization-3,Decarbonization,technology,Increase the melee damage of all non-siege units by +1.,decarbonization,Decarbonization,upgrade_melee_damage_ii,Increase the melee damage of all non-siege units by +1.,3,,100,250,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
189,188,,128070,ay,ayyubids,abbasid_ha_01,double-broadax-2,Double Broadax,technology,Increase Villagers' gathering rate for Wood by 15%.,double-broadax,Double Broadax,upgrade_econ_resource_wood_harvest_rate_2,Increase Villagers' gathering rate for Wood by 15%.,2,,50,100,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
190,189,,2033746,ay,ayyubids,abbasid_ha_01,drift-nets-3,Drift Nets,technology,"Increase the gathering rate of Fishing Ships by +10%, carry capacity by +20 and move speed by +10%.",drift-nets,Drift Nets,upgrade_econ_drift_nets,"Increase the gathering rate of Fishing Ships by +10%, carry capacity by +20 and move speed by +10%.",3,,0,350,150,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
191,190,,190779,ay,ayyubids,abbasid_ha_01,elite-army-tactics-4,Elite Army Tactics,technology,Training elite infantry leads to improved prowess in battle. Melee Infantry gain +20% damage and +4 melee armor.,elite-army-tactics,Elite Army Tactics,upgrade_manatarms_elite_army_tactics,Training elite infantry leads to improved prowess in battle. Melee Infantry gain +20% damage and +4 melee armor.,4,,500,1000,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
192,191,,196883,ay,ayyubids,abbasid_ha_01,explosives-4,Explosives,technology,Increase the damage of Incendiary Ships by +40%.,explosives,Explosives,upgrade_naval_explosives,Increase the damage of Incendiary Ships by +40%.,4,,150,350,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
193,192,,2033745,ay,ayyubids,abbasid_ha_01,extended-lines-2,Extended Lines,technology,Increase the gathering rate of Fishing Ships by +15% and carry capacity by +10.,extended-lines,Extended Lines,upgrade_econ_extended_lines,Increase the gathering rate of Fishing Ships by +15% and carry capacity by +10.,2,,0,175,75,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
194,193,,2101642,ay,ayyubids,abbasid_ha_01,extra-hammocks-3,Extra Hammocks,technology,Increases the number of arrows fired by Archer Ships by +1.,extra-hammocks,Extra Hammocks,upgrade_naval_extra_hammocks,Increases the number of arrows fired by Archer Ships by +1.,3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
195,194,,171292,ay,ayyubids,abbasid_ha_01,fertilization-3,Fertilization,technology,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,fertilization,Fertilization,upgrade_econ_resource_food_harvest_rate_3,Increase Villagers' gathering rate for Food by 10%. Does not apply to hunted meat.,3,,0,250,100,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
196,195,,2141106,ay,ayyubids,abbasid_ha_01,feudal-culture-wing-advancement-1,"Advancement
(Feudal Culture Wing)",technology,"Constructs the Culture Wing.
Build this wing to advance to the next Age in 20% less time and with 250 less costs.",feudal-culture-wing-advancement,"Advancement
(Feudal Culture Wing)",upgrade_add_culture_wing_dark_a_abb_ha_01,"Constructs the Culture Wing.
Build this wing to advance to the next Age in 20% less time and with 250 less costs.",1,,225,125,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
197,196,,2141107,ay,ayyubids,abbasid_ha_01,feudal-culture-wing-logistics-1,"Logistics
(Feudal Culture Wing)",technology,"Constructs the Culture Wing.
Upon completion, grants 2 Dervish and turns their healing aura on permanently.",feudal-culture-wing-logistics,"Logistics
(Feudal Culture Wing)",upgrade_add_culture_wing_dark_b_abb_ha_01,"Constructs the Culture Wing.
Upon completion, grants 2 Dervish and turns their healing aura on permanently.",1,,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
198,197,,2141093,ay,ayyubids,abbasid_ha_01,feudal-economic-wing-growth-1,"Growth
(Feudal Economic Wing)",technology,"Constructs the Economic Wing.
Upon completion, grants 3 Villagers. Orchards gain 50 additional food.",feudal-economic-wing-growth,"Growth
(Feudal Economic Wing)",upgrade_add_economy_wing_dark_a_abb_ha_01,"Constructs the Economic Wing.
Upon completion, grants 3 Villagers. Orchards gain 50 additional food.",1,,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
199,198,,2141094,ay,ayyubids,abbasid_ha_01,feudal-economic-wing-industry-1,"Industry
(Feudal Economic Wing)",technology,"Constructs the Economic Wing.
Upon completion, awards 350 Wood.",feudal-economic-wing-industry,"Industry
(Feudal Economic Wing)",upgrade_add_economy_wing_dark_b_abb_ha_01,"Constructs the Economic Wing.
Upon completion, awards 350 Wood.",1,,400,200,0,0,,0,0,,0,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
