id,IDUnit,NormalizedId,PBGID,CivilizationAbbreviation,CivilizationSlug,CivilizationAttributeName,ObjectId,ObjectName,ObjectNameType,ObjectDescription,BaseId,Name,AttributeName,Description,AvaiableAgeId,Hitpoints,Food,Gold,Wood,Stone,AgeId,VizierPoint,OliveOil,Total,Supply,Armor,Weapon,Aoe4AnalyticsGameVersion,Aoe4ReplayApiVersion,Aoe4ReplayApiBuild,Aoe4WorldAppVersion,Aoe4WorldAppDataChecksum,Aoe4WorldMajorVersion,Aoe4WorldDataRepositoryGitCommitHash
101,100,,7844054,ay,ayyubids,abbasid_ha_01,desert-raider-3,Veteran Desert Raider,unit,"Versatile Cavalry unit that can swap between ranged and melee attacks with a toggle.
+ Effective against Light Infantry in Ranged Mode
+ Effective against Cavalry in Melee Mode
- High cost
- Weak to Ranged units",desert-raider,Veteran Desert Raider,unit_mamluk_3_abb_ha_01,"Versatile Cavalry unit that can swap between ranged and melee attacks with a toggle.
+ Effective against Light Infantry in Ranged Mode
+ Effective against Cavalry in Melee Mode
- High cost
- Weak to Ranged units",3,145.0,80,50,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
102,101,,8731241,ay,ayyubids,abbasid_ha_01,desert-raider-4,Elite Desert Raider,unit,"Versatile Cavalry unit that can swap between ranged and melee attacks with a toggle.
+ Effective against Light Infantry in Ranged Mode
+ Effective against Cavalry in Melee Mode
- High cost
- Weak to Ranged units",desert-raider,Elite Desert Raider,unit_mamluk_4_abb_ha_01,"Versatile Cavalry unit that can swap between ranged and melee attacks with a toggle.
+ Effective against Light Infantry in Ranged Mode
+ Effective against Cavalry in Melee Mode
- High cost
- Weak to Ranged units",4,175.0,80,50,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
103,102,,3179988,ay,ayyubids,abbasid_ha_01,dhow-2,Dhow,unit,"Light war vessel armed with a crew of archers.
+ Increased maneuverability and speed.
+ Benefits from ranged damage Blacksmith technology",dhow,Dhow,unit_naval_dhow_2_abb_ha_01,"Light war vessel armed with a crew of archers.
+ Increased maneuverability and speed.
+ Benefits from ranged damage Blacksmith technology",2,300.0,80,0,150,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
104,103,,7949762,ay,ayyubids,abbasid_ha_01,explosive-dhow-3,Explosive Dhow,unit,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",explosive-dhow,Explosive Dhow,unit_naval_fireship_3_abb_ha_01,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",3,145.0,0,80,80,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
105,104,,6306556,ay,ayyubids,abbasid_ha_01,fishing-boat-2,Fishing Boat,unit,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",fishing-boat,Fishing Boat,unit_naval_fishing_boat_2_abb_ha_01,"Small boat that gathers Food from either Deep Water Fish or Shoreline Fish. Drops off gathered resources at the Dock.
+ Can repair
- No combat",2,100.0,0,0,75,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
106,105,,7313360,ay,ayyubids,abbasid_ha_01,ghulam-3,Ghulam,unit,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",ghulam,Ghulam,unit_manatarms_3_abb_ha_01,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",3,195.0,120,30,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
107,106,,3255471,ay,ayyubids,abbasid_ha_01,ghulam-4,Elite Ghulam,unit,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",ghulam,Elite Ghulam,unit_manatarms_4_abb_ha_01,"Tough infantry that deal two attacks in rapid succession.
+ High armor
+ Higher attack damage on charge
- Lower base attack damage than a Man-at-Arms
- Slow movement
- Countered by Knights, Lancers, and Crossbowmen",4,225.0,120,30,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
108,107,,3891093,ay,ayyubids,abbasid_ha_01,handcannoneer-4,Handcannoneer,unit,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",handcannoneer,Handcannoneer,unit_handcannon_4_abb_ha_01,"Powerful all-purpose ranged infantry.
+ High damage
- High cost
- Slow movement speed
- Countered by Horsemen",4,130.0,120,120,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
109,108,,3677103,ay,ayyubids,abbasid_ha_01,horseman-2,Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Horseman,unit_horseman_2_abb_ha_01,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",2,125.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
110,109,,4128483,ay,ayyubids,abbasid_ha_01,horseman-3,Veteran Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Veteran Horseman,unit_horseman_3_abb_ha_01,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",3,155.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
111,110,,5340402,ay,ayyubids,abbasid_ha_01,horseman-4,Elite Horseman,unit,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",horseman,Elite Horseman,unit_horseman_4_abb_ha_01,"Fast cavalry effective at raiding, flanking, and countering ranged units.
+ High movement speed
- Weak against melee units
- Countered by Spearmen",4,180.0,100,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
112,111,,2890619,ay,ayyubids,abbasid_ha_01,manjaniq-3,Manjaniq,unit,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
+ Can use Incendiary projectiles for devastating area damage
 - Must be set up to fire",manjaniq,Manjaniq,unit_mangonel_3_abb_ha_01,"Fires multiple projectiles dealing damage in an area.
+ Effective against massed units
+ Can use Incendiary projectiles for devastating area damage
 - Must be set up to fire",3,130.0,0,200,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
113,112,,3949072,ay,ayyubids,abbasid_ha_01,scout-1,Scout,unit,"Lightly armed cavalry effective at exploring the world, hunting wildlife, and herding Sheep.
+ Able to see into Stealth Forests
+ Health regeneration
+ High movement speed
- Very weak in combat",scout,Scout,unit_scout_1_abb_ha_01,"Lightly armed cavalry effective at exploring the world, hunting wildlife, and herding Sheep.
+ Able to see into Stealth Forests
+ Health regeneration
+ High movement speed
- Very weak in combat",1,110.0,70,0,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
114,113,,6832042,ay,ayyubids,abbasid_ha_01,spearman-1,Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Spearman,unit_spearman_1_abb_ha_01,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",1,80.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
115,114,,8681000,ay,ayyubids,abbasid_ha_01,spearman-2,Hardened Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Hardened Spearman,unit_spearman_2_abb_ha_01,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",2,90.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
116,115,,2191193,ay,ayyubids,abbasid_ha_01,spearman-3,Veteran Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Veteran Spearman,unit_spearman_3_abb_ha_01,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",3,110.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
117,116,,5864359,ay,ayyubids,abbasid_ha_01,spearman-4,Elite Spearman,unit,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",spearman,Elite Spearman,unit_spearman_4_abb_ha_01,"Infantry best used against mounted units.
+ Anti-cavalry specialist
- Weak against armored infantry
- Countered by Archers",4,130.0,60,0,20,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
118,117,,2539420,ay,ayyubids,abbasid_ha_01,springald-3,Springald,unit,"Anti-unit siege weapon. Fires bolts that pierce multiple units.
+ Does not require setup to fire
+ Bonus damage vs. melee infantry
- Trivial damage vs. buildings",springald,Springald,unit_springald_3_abb_ha_01,"Anti-unit siege weapon. Fires bolts that pierce multiple units.
+ Does not require setup to fire
+ Bonus damage vs. melee infantry
- Trivial damage vs. buildings",3,75.0,0,100,150,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
119,118,,2141356,ay,ayyubids,abbasid_ha_01,tower-of-the-sultan-3,Tower of the Sultan,unit,"Massive infantry transport effective against buildings and walls. Move speed increases for each unit garrisoned inside.
+ Fires arrows
+ High ranged armor
+ High health
- Slow move speed when empty",tower-of-the-sultan,Tower of the Sultan,unit_ram_tower_3_abb_ha_01,"Massive infantry transport effective against buildings and walls. Move speed increases for each unit garrisoned inside.
+ Fires arrows
+ High ranged armor
+ High health
- Slow move speed when empty",3,800.0,0,350,650,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
120,119,,7433153,ay,ayyubids,abbasid_ha_01,trade-ship-2,Trade Ship,unit,"Trade Ships generate Gold and Wood when assigned to a trade route with a Coastal Trade Post or another player's Dock.
- No combat",trade-ship,Trade Ship,unit_naval_trade_ship_3_abb_ha_01,"Trade Ships generate Gold and Wood when assigned to a trade route with a Coastal Trade Post or another player's Dock.
- No combat",2,225.0,0,100,100,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
121,120,,2762454,ay,ayyubids,abbasid_ha_01,trader-1,Trader,unit,"Traders generate Gold when assigned to trade with a Trade Post or another player’s Market. The distance between the trade target and Market determines the amount of Gold. Once assigned to trade, the Trader makes repeated trips between its Home Market and the trade target. You can assign a new Home Market if you wish to.",trader,Trader,unit_trade_cart_abb_ha_01,"Traders generate Gold when assigned to trade with a Trade Post or another player’s Market. The distance between the trade target and Market determines the amount of Gold. Once assigned to trade, the Trader makes repeated trips between its Home Market and the trade target. You can assign a new Home Market if you wish to.",1,90.0,0,40,40,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
122,121,,3991723,ay,ayyubids,abbasid_ha_01,transport-ship-2,Transport Ship,unit,"Large oared vessel able to transport land units across water.
+ Can be garrisoned by any unit
+ Uses sight range of units in garrison
- No combat",transport-ship,Transport Ship,unit_naval_transport_ship_2_abb_ha_01,"Large oared vessel able to transport land units across water.
+ Can be garrisoned by any unit
+ Uses sight range of units in garrison
- No combat",2,400.0,0,0,100,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
123,122,,3989658,ay,ayyubids,abbasid_ha_01,villager-1,Villager,unit,"Gathers Wood, Food, Stone, and Gold. Builds and repairs buildings and can repair siege engines and naval units.
- Weak in combat",villager,Villager,unit_villager_1_abb_ha_01,"Gathers Wood, Food, Stone, and Gold. Builds and repairs buildings and can repair siege engines and naval units.
- Weak in combat",1,50.0,50,0,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
124,123,,8469447,ay,ayyubids,abbasid_ha_01,xebec-4,Xebec,unit,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",xebec,Xebec,unit_naval_combat_warship_4_abb_ha_01,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",4,700.0,200,200,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
125,124,,2121101,by,byzantines,byzantine,arbaletrier-3,Arbalétrier,unit,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen

Mercenary that can be purchased per 4 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",arbaletrier,Arbalétrier,unit_crossbowman_3_merc_byz,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen

Mercenary that can be purchased per 4 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",3,80.0,0,0,0,0,,0,120,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
126,125,,2121102,by,byzantines,byzantine,arbaletrier-4,Elite Arbalétrier,unit,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen

Mercenary that can be purchased per 4 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",arbaletrier,Elite Arbalétrier,unit_crossbowman_4_merc_byz,"High damage ranged unit with a defensive pavise shield. Best used when supported by others.
+ Anti-armor specialist
+ Comes with melee armor
- Low health
- Countered by Horsemen

Mercenary that can be purchased per 4 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",4,95.0,0,0,0,0,,0,120,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
127,126,,5669457,by,byzantines,byzantine,archer-2,Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Archer,unit_archer_2_byz,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",2,70.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
128,127,,4797287,by,byzantines,byzantine,archer-3,Veteran Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Veteran Archer,unit_archer_3_byz,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",3,80.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
129,128,,4097251,by,byzantines,byzantine,archer-4,Elite Archer,unit,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",archer,Elite Archer,unit_archer_4_byz,"Cheap ranged infantry with good damage vs. unarmored targets.
+ High rate of fire
- Weak against armored targets
- Countered by Horsemen",4,95.0,30,0,50,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
130,129,,8552218,by,byzantines,byzantine,bombard-4,Bombard,unit,"Intimidating siege gun excellent against buildings or any stubborn targets.
+ High damage
- Must be set up to fire",bombard,Bombard,unit_bombard_4_byz,"Intimidating siege gun excellent against buildings or any stubborn targets.
+ High damage
- Must be set up to fire",4,210.0,0,500,350,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
131,130,,2104155,by,byzantines,byzantine,camel-archer-2,Camel Archer,unit,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",camel-archer,Camel Archer,unit_camel_archer_2_merc_byz,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",2,150.0,0,0,0,0,,0,240,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
132,131,,2104156,by,byzantines,byzantine,camel-archer-3,Veteran Camel Archer,unit,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",camel-archer,Veteran Camel Archer,unit_camel_archer_3_merc_byz,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",3,175.0,0,0,0,0,,0,240,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
133,132,,2104157,by,byzantines,byzantine,camel-archer-4,Elite Camel Archer,unit,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",camel-archer,Elite Camel Archer,unit_camel_archer_4_merc_byz,"Highly mobile and durable ranged unit.
+Bonus damage vs Spearmen
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",4,200.0,0,0,0,0,,0,240,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
134,133,,2104158,by,byzantines,byzantine,camel-rider-3,Camel Rider,unit,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

Requires the Silk Road Contract.",camel-rider,Camel Rider,unit_camel_rider_3_merc_byz,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

Requires the Silk Road Contract.",3,270.0,0,0,0,0,,0,240,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
135,134,,2104159,by,byzantines,byzantine,camel-rider-4,Elite Camel Rider,unit,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

Requires the Silk Road Contract.",camel-rider,Elite Camel Rider,unit_camel_rider_4_merc_byz,"Highly mobile and durable melee unit effective against all cavalry.
+Bonus damage to cavalry
+Causes enemy cavalry to deal less damage
-High cost

Mercenary that can be purchased per 2 units for a total of 480 Olive Oil.

Requires the Silk Road Contract.",4,320.0,0,0,0,0,,0,240,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
136,135,,2616092,by,byzantines,byzantine,carrack-4,Carrack,unit,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",carrack,Carrack,unit_naval_combat_warship_4_byz,"Large sailed war vessel armed with broadside cannons.
+ Anti-structure specialist
- Low movement speed",4,700.0,200,200,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
137,136,,6027069,by,byzantines,byzantine,cataphract-3,Cataphract,unit,"Expensive cavalry with high damage and a powerful Trample ability that charges through enemies.
+ Heavy armor
+ Trample deals area damage
- No base charge attack
- Slower move speed
- Countered by Spearmen and Crossbowmen",cataphract,Cataphract,unit_knight_3_byz,"Expensive cavalry with high damage and a powerful Trample ability that charges through enemies.
+ Heavy armor
+ Trample deals area damage
- No base charge attack
- Slower move speed
- Countered by Spearmen and Crossbowmen",3,360.0,180,150,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
138,137,,5598691,by,byzantines,byzantine,cataphract-4,Elite Cataphract,unit,"Expensive cavalry with high damage and a powerful Trample ability that charges through enemies.
+ Heavy armor
+ Trample deals area damage
- No base charge attack
- Slower move speed
- Countered by Spearmen and Crossbowmen",cataphract,Elite Cataphract,unit_knight_4_byz,"Expensive cavalry with high damage and a powerful Trample ability that charges through enemies.
+ Heavy armor
+ Trample deals area damage
- No base charge attack
- Slower move speed
- Countered by Spearmen and Crossbowmen",4,405.0,180,150,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
139,138,,2140764,by,byzantines,byzantine,cheirosiphon-3,Cheirosiphon,unit,"Durable infantry transport equipped with Greek Fire, effective against Buildings and Walls.
+ Greek Fire persists on ground
+ High ranged armor
+ High health
- Only attacks buildings
- Slow move speed",cheirosiphon,Cheirosiphon,unit_workshop_fire_ram_3_byz,"Durable infantry transport equipped with Greek Fire, effective against Buildings and Walls.
+ Greek Fire persists on ground
+ High ranged armor
+ High health
- Only attacks buildings
- Slow move speed",3,310.0,0,60,200,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
140,139,,2190555,by,byzantines,byzantine,counterweight-trebuchet-3,Counterweight Trebuchet,unit,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",counterweight-trebuchet,Counterweight Trebuchet,unit_trebuchet_4_cw_byz,"Powerful siege engine effective at destroying buildings and walls over a great distance.
+ Bonus damage vs buildings
- Must be set up to fire
- Inaccurate against units",3,140.0,0,150,400,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
141,140,,7735570,by,byzantines,byzantine,crossbowman-3,Crossbowman,unit,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",crossbowman,Crossbowman,unit_crossbowman_3_byz,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",3,80.0,80,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
142,141,,4075376,by,byzantines,byzantine,crossbowman-4,Elite Crossbowman,unit,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",crossbowman,Elite Crossbowman,unit_crossbowman_4_byz,"High damage ranged unit best against armored targets.
+ Anti-armor specialist
- Low health
- Countered by Horsemen",4,95.0,80,40,0,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
143,142,,4028254,by,byzantines,byzantine,demolition-ship-3,Demolition Ship,unit,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",demolition-ship,Demolition Ship,unit_naval_fireship_3_byz,"Small ship packed with explosives. Detonates when killed, damaging any units in the area.
- Damage is reduced further from the explosion center
- No weapons other than self-destruction",3,145.0,0,80,80,0,,0,0,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
144,143,,2136950,by,byzantines,byzantine,desert-raider-2,Desert Raider,unit,"Versatile Cavalry unit that can swap between ranged and melee attacks with a toggle.
+ Effective against Light Infantry in Ranged Mode
+ Effective against Cavalry in Melee Mode
- High cost
- Weak to Ranged units

Mercenary that can be purchased per 3 units for a total of 540 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",desert-raider,Desert Raider,unit_mamluk_2_merc_byz,"Versatile Cavalry unit that can swap between ranged and melee attacks with a toggle.
+ Effective against Light Infantry in Ranged Mode
+ Effective against Cavalry in Melee Mode
- High cost
- Weak to Ranged units

Mercenary that can be purchased per 3 units for a total of 540 Olive Oil.

This Mercenary can only be purchased on Mercenary Houses built near a neutral Trade Post that list this unit. The chance of this unit being available on a Trade Post is 20%.",2,120.0,0,0,0,0,,0,180,,1,,,v4.0.0-build:2638,4.0.0,2638,2638,1211620643,0,76c0b81b2319339930f90189c55e8cb588923699
